OfficeName,ObservedYears,CycleEstimate,PredictionReason
Council Member Seat 2 (Solway),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Seat 3 (Bellingham),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Seat 3 (Grasston),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Seat 3 (Quamba),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Seat 4 (Grasston),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Section II (Crystal),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Albert Lea),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Alexandria),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Austin),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Blaine),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Champlin),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Chaska),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Cloquet),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Crystal),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Detroit Lakes),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Elk River),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Fairmont),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Fergus Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Fridley),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Hibbing),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Hugo),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Jackson),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Litchfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Little Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Luverne),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Mankato),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Marshall),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Moorhead),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Northfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Owatonna),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Ramsey),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Red Lake Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Sleepy Eye),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (St. Cloud),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (St. James),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Stillwater),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Thief River Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Two Harbors),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 1 (Wabasha),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Waseca),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (West St. Paul),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Willmar),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Windom),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 1 (Worthington),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Afton),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Albert Lea),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Alexandria),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Austin),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Bemidji),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Blaine),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Brainerd),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Champlin),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Cloquet),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Crookston),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Crystal),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Detroit Lakes),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (East Grand Forks),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Fergus Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Fridley),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Granite Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Hibbing),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Jackson) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Little Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Luverne),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Marshall),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Moorhead),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (New Ulm),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Plymouth),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Sleepy Eye),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (St. Cloud),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (St. James),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Two Harbors),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Wabasha),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Waseca),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (West St. Paul),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Willmar),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Windom),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 2 (Winona),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 2 (Worthington),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Afton),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Austin),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Blaine),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Chaska),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Cloquet),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Coon Rapids),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Detroit Lakes),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Fairmont),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Council Member Ward 3 (Fergus Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Fridley),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Hugo),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Litchfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Little Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Mankato),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Marshall),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Moorhead),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Owatonna),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Ramsey),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Red Wing),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Redwood Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Robbinsdale),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (St. Cloud),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Thief River Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 3 (Wabasha),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Waseca),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (West St. Paul),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 3 (Willmar),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 4 (Albert Lea),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Alexandria),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Bemidji),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Brainerd),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Crookston),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (East Grand Forks),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Elk River),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Fergus Falls),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 4 (Hibbing),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 4 (Moorhead),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 4 (New Ulm),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Northfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Plymouth),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Red Wing),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Robbinsdale),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (St. Cloud),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Stillwater),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 4 (Willmar),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward 4 (Winona),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 5 (Coon Rapids),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 5 (Litchfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 5 (Mankato),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 5 (Owatonna),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 5 (Thief River Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 6 (Albert Lea),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward 6 (Crookston),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward C (Brooklyn Park),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward C (International Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward E (Brooklyn Park),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward E (International Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Ward W (Brooklyn Park),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Council Member Ward W (International Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Council Member Wards 1 & 2 (Red Wing),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Attorney,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Auditor,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Auditor/Treasurer,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Commissioner District 1,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Commissioner District 2,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Commissioner District 3,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Commissioner District 4,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Commissioner District 5,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Commissioner District 6,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Commissioner District 7,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Park Commissioner District 1,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Park Commissioner District 2,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Park Commissioner District 3,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Park Commissioner District 4,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Park Commissioner District 5,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
COUNTY QUESTION 1,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
County Recorder,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Sheriff,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Surveyor,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
County Treasurer,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Governor & Lt Governor,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Askov),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Bay Lake Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Beatty Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Becker Township),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Big Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Big Lake Township),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Bigfork),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Bruno),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Byron Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Camp 5 Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Canby) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Carpenter Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Cuyuna),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Dawson),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Dean Lake),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Deerwood),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Dell Grove Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Dent),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Dora Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Elmore Township),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Elmore),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Emerald Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Emily),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Field Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Gilchrist Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Gorman Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Grove Lake Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Hinckley Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Irondale Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Jo Daviess Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Kabetogama Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Leiding Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Leven Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Lida Township),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Linden Grove Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Long Beach),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Maplewood Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Marcell Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Monticello Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Moran Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Motley Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (New Dosey Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (North Unorganized/Long Lake),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Ogema Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Otsego),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Otter Tail Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Partridge Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Pelican Rapids),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Perham Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Perham),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Pilot Grove Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Pine Lake Township),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Hospital District Board Member (Pomroy Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Reno Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Richville),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Scambler Township),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Sedan),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Staples),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Thomastown Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Trommald),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Westport Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Willow River),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member (Winnebago),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Hospital District Board Member (Wolford Township),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member 1 (Cook County),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member 3 (Cook County),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member 5 (Cook County),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member at Large (Canby Community) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
Hospital District Board Member at Large (Glacial Ridge),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member at Large (Pelican Valley),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Hospital District Board Member at Large Koochiching (Northern Itasca),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 11,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 13,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 18,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 19,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 2,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 27,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 29,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 30,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 40,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 41,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 42,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 10th District Court 45,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 11,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 13,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 15,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 17,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 21,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 22,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 23,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 25,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 28,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 33,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Judge - 1st District Court 34,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 36,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 5,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Judge - 1st District Court 7,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
